Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.026915 0.28364 1.06296 3.5599303246 2.6030342579    3.557  3.482  3.5479  0.650    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.936 1.721 -0.013 -1.526 -2.778 -4.208 -5.693 -6.520 -6.793
0.026915 0.28364 1.06296 3.7551460266 2.6051061153    3.752  3.519  3.5481  0.637    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.029 1.635 -0.112 -1.629 -2.879 -4.305 -5.785 -6.612 -6.885
0.026915 0.28364 1.06296 3.9503617287 2.6069445610    3.949  3.557  3.5480  0.621    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.123 1.554 -0.201 -1.721 -2.972 -4.399 -5.880 -6.706 -6.980
0.026915 0.28364 1.06296 4.1455774307 2.6085851192    4.143  3.598  3.5473  0.598    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.226 1.476 -0.274 -1.794 -3.056 -4.494 -5.986 -6.812 -7.087
0.026915 0.28364 1.06296 4.3407931328 2.6100573540    4.337  3.634  3.5472  0.582    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.315 1.402 -0.354 -1.877 -3.141 -4.582 -6.075 -6.901 -7.177
0.026915 0.28364 1.06296 4.5360088348 2.6113846302    4.532  3.665  3.5474  0.571    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.392 1.330 -0.435 -1.963 -3.225 -4.662 -6.152 -6.977 -7.254
0.026915 0.28364 1.06296 4.7312240601 2.6125869751    4.728  3.697  3.5473  0.557    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.471 1.263 -0.508 -2.038 -3.302 -4.740 -6.232 -7.056 -7.333
0.026915 0.28364 1.06296 4.9264397621 2.6136801243    4.923  3.724  3.5475  0.548    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.540 1.198 -0.584 -2.118 -3.379 -4.813 -6.300 -7.123 -7.400
0.026915 0.28364 1.06296 5.1216549873 2.6146781445    5.119  3.752  3.5476  0.538    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.609 1.136 -0.653 -2.190 -3.450 -4.883 -6.369 -7.192 -7.468
0.026915 0.28364 1.06296 5.3168711662 2.6155922413    5.315  3.783  3.5470  0.520    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.688 1.077 -0.706 -2.243 -3.512 -4.955 -6.450 -7.273 -7.551
0.026915 0.28364 1.06296 5.5120863914 2.6164324284    5.510  3.810  3.5469  0.509    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.754 1.020 -0.768 -2.307 -3.577 -5.021 -6.517 -7.340 -7.618
0.026915 0.28364 1.06296 5.7073025703 2.6172068119    5.706  3.833  3.5471  0.501    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -4.813 0.965 -0.831 -2.374 -3.642 -5.083 -6.575 -7.398 -7.676
