,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,Gmag,BPmag,RPmag,Var,Hmag,Jmag,Ksmag,Probv1,ZeroPoint,pmGLON,pmGLAT,d50kin,dmaxpdfkin,xkin,ykin,zkin,rpgeo,xphotogeo,yphotogeo,zphotogeo,_RA_icrs,_DE_icrs,RAJ2000,DEJ2000
41,1454797408475231232,205.4541327242,28.4422334677,42.5755102985,78.7855928457,0.0553,15.588343,15.816313,15.181749,0.108559498,14.615,14.686,14.462,0.9985351562,-0.0338479988,-2.7380000000000004,0.22300000000000003,4.3874382973,4.3024382591,0.6161657655,0.5661075989,4.2202887235,10088.22636956,1444.76674603,1327.39187959,9895.60463696,205.45413272419998,28.4422334677,205.4541327242,28.4422334677
42,1454797442834967040,205.4378650383,28.4440698315,42.5897700142,78.7997454352,0.0164,15.619488,15.70364,15.464437,0.013580071,15.207,15.232,15.101,0.9990234375,-0.0328769982,-2.6180000000000003,0.44400000000000006,4.6925387383,4.6135387421,0.6597453623,0.6064495958,4.525670632,11862.44850123,1696.35410507,1559.3186708,11636.51977515,205.4378650383,28.444069831500002,205.4378650383,28.4440698315
43,1454873858890469760,205.6534429164,28.3032293854,41.8151287465,78.6186002712,0.0933,15.6404,15.861743,15.307777,0.2656746253,14.52,14.741,14.412,0.8549804688,-0.0338720009,-2.664,0.406,4.0205616951,3.9715616703,0.5841246845,0.5225453455,3.8934620604,4465.24143566,656.73353741,587.49965942,4377.43375618,205.6534429164,28.303229385400005,205.6534429164,28.3032293854
44,1454875198920293632,205.6075218988,28.371813159,42.1738092266,78.6552506582,0.0866,15.49007,15.73727,15.06732,0.007265683,14.367,14.569,14.2,0.9985351562,-0.0339719988,-2.4450000000000003,0.33,4.2202644348,4.2072644234,0.6133582127,0.555648581,4.1250600342,9170.33021482,1336.9013174,1211.11498078,8991.15407607,205.60752189879997,28.371813158999995,205.6075218988,28.371813159
45,1454875267637295232,205.5901888406,28.3853763997,42.2471875953,78.6696879746,-0.3864,15.623413,15.619602,15.374734,0.0279419154,15.202,15.247,15.171,0.0214080811,-0.0327619985,-1.87,0.49100000000000005,3.9121820927,3.8521821499,0.5602358262,0.5088322089,3.7771064213,12884.39982135,1873.82166729,1701.89190602,12633.29391156,205.5901888406,28.3853763997,205.5901888406,28.3853763997
46,1454878183922971136,205.5784216914,28.3913823395,42.2808310811,78.6796672578,0.0408,15.578031,15.713071,14.98938,0.0144200933,14.351,14.549,14.236,0.0731201172,-0.0338779986,-2.8660000000000005,1.088,3.9373624325,3.8443624973,0.5583145719,0.5076858285,3.7695706585,9826.69117157,1427.12475177,1297.71109043,9635.51349177,205.57842169139997,28.391382339499998,205.5784216914,28.3913823395
47,1454878252642445824,205.5731394187,28.3955030348,42.3032016947,78.6840601773,0.1042,15.587985,15.765374,15.06592,0.0088434482,14.442,14.647,14.239,0.8510742188,-0.0338639989,-2.7390000000000003,0.18600000000000003,3.5860526562,3.5460524559,0.5146111261,0.4683126647,3.4771175788,4670.50061352,677.79357751,616.81394029,4579.7065856,205.5731394187,28.395503034799997,205.5731394187,28.3955030348
48,1454878325656564864,205.6015211189,28.4060914736,42.3493679256,78.658503179,0.0708,15.628301,15.786575,15.259058,0.2922259679,14.731,14.844,14.706,0.986328125,-0.0338849984,-2.664,0.5820000000000001,4.0787491798,3.9947493076,0.5805929823,0.5292141412,3.9167417853,4508.2807745,655.22914666,597.24547261,4420.24525932,205.6015211189,28.4060914736,205.6015211189,28.4060914736
49,1454878463095464320,205.5461362387,28.4090152754,42.3793486629,78.7069506611,0.0305,15.572046,15.80431,15.165845,0.0073590221,14.606,14.748,14.369,0.9990234375,-0.0337990001,-2.5810000000000004,0.24400000000000002,4.4145712852,4.4105710983,0.6380209251,0.5821715942,4.3251754817,10143.44460382,1467.3224318,1338.87997366,9947.05150927,205.5461362387,28.409015275399998,205.5461362387,28.4090152754
50,1454878703613723520,205.5719897756,28.4491871644,42.5765583406,78.6817319756,0.0648,15.59389,15.857329,15.159619,0.0069305328,14.366,14.567,14.229,0.9970703125,-0.0339220017,-2.6700000000000004,0.31500000000000006,4.3054285049,4.293428421,0.6204856855,0.5700974933,4.2099303995,9966.24731481,1440.32069257,1323.35561572,9772.42507041,205.5719897756,28.4491871644,205.5719897756,28.4491871644
