,Unnamed: 0_B,Unnamed: 0.1_B,id_B,xcentroid_B,ycentroid_B,sharpness_B,roundness1_B,roundness2_B,npix_B,sky_B,peak_B,flux_B,mag_B,Unnamed: 0_V,Unnamed: 0.1_V,id_V,xcentroid_V,ycentroid_V,sharpness_V,roundness1_V,roundness2_V,npix_V,sky_V,peak_V,flux_V,mag_V,x_rad,y_rad,rad,distance,Vmag,Bmag
808879,541,541,542,1637.9191407854526,1436.1520792970832,0.3371270702890437,-0.1076333709248896,0.2689473401417214,25,0.0,1701.197894594075,1.4230588135272768,14.134408198364929,625,625,626,1637.9600598341583,1434.9822767604094,0.4376818031423863,0.0643960814788661,0.1157766131174702,25,0.0,4004.230733671124,5.249738402571985,12.691676272144925,69.9600598341583,-35.01772323959062,0.7932987322581097,0.7932987322581097,12.691676272144925,14.134408198364929
811868,543,543,544,1445.958419637327,1434.8480849311593,0.4154698064179224,0.0398509668972632,0.1115523187950575,25,0.0,1345.0910327529896,1.2774136898131794,14.25696567478294,626,626,627,1445.8655576770625,1434.6948317864135,0.2279017237285868,-0.1887479714615865,-0.1026862750148718,25,0.0,2986.5938821803206,3.768085785239612,13.08341581330315,-122.1344423229375,-35.30516821358651,1.2891476509583097,1.2891476509583097,13.08341581330315,14.25696567478294
816358,546,546,547,1569.0074214724823,1438.6317343536991,0.4692119229050979,0.6403871039019645,-0.950237258715085,25,0.0,3219.5168035796173,1.6663587500338366,13.955253734205472,634,634,635,1568.8612934399534,1440.028689225348,0.2360509923885249,0.4702651775967912,-0.6774509529328706,25,0.0,4006.933475927151,1.5373617850076482,14.14247022961228,0.8612934399534424,-29.97131077465201,0.3040345540231926,0.3040345540231926,14.14247022961228,13.955253734205472
819348,548,548,549,1583.9001056325235,1441.9382247868768,0.5374712214090809,-0.207908090629656,-0.087984511136056,25,0.0,2997.0522520600707,1.2389761102872705,14.291645259977408,636,636,637,1583.8677586032557,1441.945187009954,0.4743302200661607,-0.0347319925942337,-0.156716763222626,25,0.0,5595.82214657344,5.023882910224587,12.743625057436232,15.867758603255652,-28.054812990046003,0.32682563294261374,0.32682563294261374,12.743625057436232,14.291645259977408
820847,549,549,550,1526.560301731772,1443.1353028253366,0.7160782372088473,-0.157342834524761,-0.3974383937608696,25,0.0,1891.517994629696,1.091443645945115,14.435557138289598,641,641,642,1526.1677945848623,1443.9317145259258,0.3937697965729991,0.1729898475724459,-0.1992312809591517,25,0.0,2441.596313518692,1.2189518472515777,14.416627290090029,-41.83220541513765,-26.068285474074173,0.49979903831125744,0.49979903831125744,14.416627290090029,14.435557138289598
822336,550,550,551,1583.45119875367,1442.253429118393,0.4404549802749654,-0.074408939263691,-0.619854040901041,25,0.0,3131.120965342124,1.3208874002941335,14.21897825788947,636,636,637,1583.8677586032557,1441.945187009954,0.4743302200661607,-0.0347319925942337,-0.156716763222626,25,0.0,5595.82214657344,5.023882910224587,12.743625057436232,15.867758603255652,-28.054812990046003,0.32682563294261374,0.32682563294261374,12.743625057436232,14.21897825788947
823834,551,551,552,2448.354523503643,1443.1715185724868,0.5581375006270107,-0.5461299587718396,-0.325769933488114,25,0.0,429.43298877125176,1.3360824497407309,14.205995043619346,640,640,641,2449.9234238729778,1443.2003641517997,0.5201962874540531,-0.1905142823016411,-0.2007891171948781,25,0.0,1200.3729943880558,2.0869687950683247,13.78140521503895,881.9234238729778,-26.799635848200296,8.946831470122076,8.946831470122076,13.78140521503895,14.205995043619346
826824,553,553,554,1574.0291295864856,1444.3874750730347,0.516818547076406,-0.0456758843455364,-0.0793599084460587,25,0.0,3219.4052738390096,1.2426158712800883,14.28831556233194,642,642,643,1575.7469819281168,1444.3853078833815,0.5043088789115088,0.1518749684181229,-0.8795188305112488,25,0.0,4956.411599614333,3.062426747458478,13.328374128961393,7.746981928116838,-25.61469211661847,0.27135219391438675,0.27135219391438675,13.328374128961393,14.28831556233194
826827,553,553,554,1574.0291295864856,1444.3874750730347,0.516818547076406,-0.0456758843455364,-0.0793599084460587,25,0.0,3219.4052738390096,1.2426158712800883,14.28831556233194,645,645,646,1575.8700341254155,1443.8548612061506,0.4950086352745688,0.3963187277670158,-0.4318073051800101,25,0.0,4777.624826214645,2.5077024892617583,13.56445031842853,7.870034125415486,-26.145138793849355,0.27686205932866365,0.27686205932866365,13.56445031842853,14.28831556233194
831312,556,556,557,1519.5818397741507,1449.419407321942,0.2633010605599975,-0.0857690878949807,-0.5698362323785768,25,0.0,2009.9325690405767,1.083551043233522,14.44379521717323,648,648,649,1518.4032464864329,1447.9948683018465,0.6456835425909649,-0.2797708366970338,-0.5237448942175927,25,0.0,2523.239903307088,2.155473344901316,13.74325126082095,-49.59675351356714,-22.00513169815349,0.5501885679004428,0.5501885679004428,13.74325126082095,14.44379521717323
831315,556,556,557,1519.5818397741507,1449.419407321942,0.2633010605599975,-0.0857690878949807,-0.5698362323785768,25,0.0,2009.9325690405767,1.083551043233522,14.44379521717323,651,651,652,1518.8073479589384,1449.1479797026568,0.568403844439451,-0.2679141636110148,-0.9242244537707645,25,0.0,2553.663352382866,1.1984588547221275,14.436656492720855,-49.19265204106159,-20.852020297343188,0.5417762966945453,0.5417762966945453,14.436656492720855,14.44379521717323
832812,557,557,558,1599.3572597402283,1449.429577310947,0.5835398996313387,0.5568609019002068,0.2410302049046172,25,0.0,3300.7645300607724,1.4200193724923833,14.136835183314773,654,654,655,1599.8480817120676,1448.749465257254,0.4050566026498995,0.3673854407654702,0.978351713418772,25,0.0,5043.389785363309,2.958646866747758,13.36910095431112,31.848081712067597,-21.250534742745913,0.38822901027006146,0.38822901027006146,13.36910095431112,14.136835183314773
834298,558,558,559,1603.019132506278,1447.7536947138894,0.4752691433314234,-0.0140014975758057,0.5030574938590692,25,0.0,3034.9304518854747,1.1537955127080035,14.372496184881362,646,646,647,1603.086574112778,1446.0683570216922,0.4959020059503272,-0.1981588746087758,-0.3333234320339164,25,0.0,4153.78288029837,2.0006728564406275,13.831291411111415,35.08657411277795,-23.931642978307764,0.43065658195511763,0.43065658195511763,13.831291411111415,14.372496184881362
847768,567,567,568,1532.3234470900663,1452.772439084747,0.337215128548453,0.0784963111882924,-0.173388563566585,25,0.0,2963.516351137649,1.3165050086836396,14.222750493666878,670,670,671,1531.6172574788966,1454.750249750205,0.3445023560489429,0.2393257624604136,0.3139182238666833,25,0.0,4136.941529712417,2.9307234234675965,13.38030311193318,-36.38274252110341,-15.249750249794943,0.4000173883944241,0.4000173883944241,13.38030311193318,14.222750493666878
850748,569,569,570,1551.736697482631,1453.7713756802364,0.2628360455910505,-0.1679807062594114,-0.447791352956027,25,0.0,3340.5644465440787,1.064495160542689,14.463935188301846,662,662,663,1550.4394448556998,1454.0670561465636,0.306338984383408,-0.0829876753236091,-0.0443199022719808,25,0.0,4474.359460942121,2.357732859634961,13.637298300126313,-17.560555144300224,-15.932943853436427,0.2404338754326643,0.2404338754326643,13.637298300126313,14.463935188301846
852243,570,570,571,1558.944537373803,1453.7561866190626,0.500422042593971,0.6573119023611523,-0.3735195548874289,25,0.0,3633.693732481661,1.7544140738060896,13.896803085614756,663,663,664,1559.766259793318,1455.3353389865915,0.6995594921161723,0.2308176711481585,-0.5606843771157963,25,0.0,4574.117659243359,1.2936033906714877,14.346409148581523,-8.233740206681887,-14.664661013408477,0.17053501332171564,0.17053501332171564,14.346409148581523,13.896803085614756
853751,571,571,572,1511.8939385727724,1456.1200811492988,0.4814228404191302,0.4873889880250348,0.5976813253799128,25,0.0,1960.8968415557724,1.5162632912921008,14.062397467524482,677,677,678,1511.9295587872807,1457.968309827164,0.3049194890528891,-0.5858830421701654,-0.0501469036972273,25,0.0,2305.588160462924,1.1421117690214238,14.493545970285368,-56.07044121271929,-12.031690172836079,0.5814965940797333,0.5814965940797333,14.493545970285368,14.062397467524482
855229,572,572,573,1532.3858221684493,1455.4983844301194,0.2963503978435491,-0.0278613530587653,0.2145973667461454,25,0.0,3071.197682582891,1.7135235417539143,13.923572175815922,661,661,662,1531.56432419468,1454.8446171988414,0.2959726222327862,-0.3041877162773647,-0.2433421947058153,25,0.0,4249.596141058053,3.162275680235256,13.290472279637594,-36.43567580531999,-15.155382801158567,0.4001439933151822,0.4001439933151822,13.290472279637594,13.923572175815922
855238,572,572,573,1532.3858221684493,1455.4983844301194,0.2963503978435491,-0.0278613530587653,0.2145973667461454,25,0.0,3071.197682582891,1.7135235417539143,13.923572175815922,670,670,671,1531.6172574788966,1454.750249750205,0.3445023560489429,0.2393257624604136,0.3139182238666833,25,0.0,4136.941529712417,2.9307234234675965,13.38030311193318,-36.38274252110341,-15.249750249794943,0.4000173883944241,0.4000173883944241,13.38030311193318,13.923572175815922
