,Id,GaiaEDR3,Name,RAJ2000,DEJ2000,Bmag,Vmag,recno,distance
1395,219588,1454874099408643328,M3-S872     ,205.64785943031,28.33286080678,14.784,13.68,29473,6.53471182127539
1632,220805,1454878836755204096,M3-S507     ,205.62697894573,28.45260184977,19.151,18.684,29710,6.530351442666263
707,219627,1454784725432562816,M3-S337     ,205.44727632205,28.33724047926,20.139,19.696,28785,6.526543251650941
725,219671,1454784729731727360,M3-S329     ,205.44566086133,28.34163739628,18.186,17.509,28803,6.525617178097289
1663,220890,1454879115930601472,M3-S446     ,205.60609367688,28.46943194098,18.008,17.329,29741,6.522981772646687
1699,220941,1454879764468231168,M3-S587     ,205.51788791021,28.48159608205,19.514,18.776,29777,6.521653664948354
834,220195,1454785137749480704,M3-S349     ,205.43987480799,28.38221288151,20.166,19.715,28912,6.519201779453709
742,219862,1454784794152061824,M3-S325     ,205.44218565623,28.35561710358,19.432,19.012,28820,6.504962212149927
1410,219806,1454874266909818496,M3-S715     ,205.6536453406,28.3513620913,20.521,20.069,29488,6.502404771909226
757,220039,1454784828511822848,M3-S332     ,205.4403649648,28.36934463951,18.913,18.294,28835,6.500508809519412
756,220081,1454784828511822720,M3-S336     ,205.44026902517,28.37223345651,19.073,18.601,28834,6.49587097970182
1399,219702,1454874163830593664,M3-S712     ,205.65144589742,28.34417718252,19.303,18.886,29477,6.492975253802852
362,219219,1454780602263826176,M3-S784     ,205.4997677962,28.28072239028,16.862,16.097,28440,6.487062926173583
803,220163,1454785038969384960,M3-S346     ,205.44032761256,28.37890294393,19.18,18.736,28881,6.486036963736758
867,220396,1454785245127825792,M3-S743     ,205.44314983686,28.40169169664,17.671,16.967,28945,6.483621908414858
751,219891,1454784828511802112,M3-S327     ,205.44233552615,28.35767776913,19.33,18.905,28829,6.472550379762961
858,220353,1454785206471243136,M3-S388     ,205.44252964656,28.39700346523,18.706,18.06,28936,6.462491144369773
1475,220265,1454875439438553472,M3-S669     ,205.65526065826,28.38885494232,16.125,15.663,29553,6.44820805258503
840,220272,1454785137756392576,M3-S367     ,205.44173351924,28.38947371271,19.157,18.713,28918,6.442645528612289
846,220173,1454785142048600448,M3-S354     ,205.44109563828,28.379687962,20.388,19.932,28924,6.440846372871192
755,220018,1454784828511815040,M3-S339     ,205.44154149691,28.36773912741,20.291,19.839,28833,6.437955384080254
1451,220107,1454875057183839616,M3-1616     ,205.65568477313,28.37494292842,18.421,17.781,29529,6.437649826158003
1651,220843,1454879042913659520,M3-S526     ,205.61536943118,28.46093180339,19.257,18.813,29729,6.42893436559895
741,219851,1454784794152061696,M3-S334     ,205.44365431468,28.35500734382,19.84,19.415,28819,6.426150781833829
1662,220913,1454879115930601344,M3-S640     ,205.59195226828,28.47508132988,17.817,17.2,29740,6.423389833762852
1412,219881,1454874271204872192,M3-S714     ,205.65348599752,28.35687805282,19.88,19.461,29490,6.421912264244305
1404,219718,1454874168128128768,M3-S711     ,205.65048923492,28.34539432526,19.542,19.131,29482,6.416199875954282
359,219131,1454780400404806400,M3-S809     ,205.52919237216,28.27216213597,18.382,17.519,28437,6.411494133706676
1633,220828,1454878836755220736,M3-S520     ,205.61785236994,28.45793158107,19.227,18.788,29711,6.38558182978512
903,220622,1454785623084963072,M3-S1515    ,205.45360910098,28.4255675337,17.932,17.251,28981,6.383820602785602
845,220343,1454785142045642752,M3-S395     ,205.44379790624,28.39621577899,19.971,19.53,28923,6.379109844624604
837,220275,1454785137749493376,M3-S379     ,205.44287228584,28.38961955018,19.44,19.017,28915,6.375776887335859
1495,220664,1454875817395707264,M3-S1020    ,205.63968774478,28.43164180968,15.72,15.536,29573,6.374153287787541
331,219205,1454779678850320512,M3-S844     ,205.58690385024,28.278329152,17.317,16.675,28409,6.370178055889448
863,220485,1454785240828187776,M3-S745     ,205.44755387306,28.41003205829,16.74,15.958,28941,6.362847238461085
1411,219870,1454874266909829760,M3-S713     ,205.65224329631,28.35628654904,19.26,18.825,29489,6.355670174416354
759,219985,1454784832805733760,M3-S348     ,205.4432255586,28.36485675388,19.944,19.51,28837,6.35526941302945
758,219894,1454784832805723648,M3-S343     ,205.44428666433,28.35795835601,20.431,19.98,28836,6.354373516694862
752,219961,1454784828511808896,M3-S347     ,205.44358927409,28.36277312915,20.47,20.015,28830,6.349521009078505
839,220282,1454785137749816576,M3-S386     ,205.4435540994,28.39052282492,19.007,18.525,28917,6.341710516172324
711,219699,1454784725432572032,M3-S353     ,205.44822190603,28.34389280319,19.33,18.893,28789,6.336568458339857
1622,220773,1454878768035710464,M3-S513     ,205.62811177572,28.44654587322,19.169,18.733,29700,6.335498123526059
1400,219739,1454874163830599424,M3-S710     ,205.64936332703,28.34687631395,19.759,19.354,29478,6.325538109008123
1413,219967,1454874271207388160,M3-S1677    ,205.6529246966,28.36351683723,16.962,16.229,29491,6.3246403123142345
905,220653,1454785657444704896,M3-S682     ,205.4570731322,28.42983808411,15.772,14.846,28983,6.323153755736507
1704,220916,1454879867547430272,M3-S637     ,205.58579638004,28.47567366706,17.995,17.81,29782,6.315465845179056
332,219157,1454779708910607104,M3-S831     ,205.57007700602,28.27430183729,17.907,17.257,28410,6.313723144153285
1696,220901,1454879665686226304,M3-S786     ,205.501052396,28.47088112222,15.819,15.688,29774,6.294295325896554
709,219653,1454784725432567808,M3-S360     ,205.45029298464,28.34027560976,20.351,19.884,28787,6.292060432237235
721,219700,1454784729726498688,M3-S356     ,205.44900485675,28.34399195353,20.205,19.765,28799,6.290126468904384
619,219596,1454783973817481856,M3-S950     ,205.45297493935,28.3340107327,15.439,14.619,28697,6.2874062536670285
367,219275,1454780670983321344,M3-S780     ,205.49353238742,28.2882458353,17.531,16.889,28445,6.275311401325977
836,220262,1454785137749493248,M3-S389     ,205.44455658595,28.38851799329,19.204,18.745,28914,6.267957892410661
842,220169,1454785142043397504,M3-S372     ,205.44403298696,28.37948456128,19.129,18.701,28920,6.264381234983601
841,220158,1454785142043396864,M3-S371     ,205.44413954417,28.37863158226,19.464,19.04,28919,6.257115220357234
1697,220938,1454879730108491136,M3-S1584    ,205.54230535825,28.48133922259,18.661,18.024,29775,6.254488788596992
716,219797,1454784725432577920,M3-S358     ,205.44782430331,28.35084586064,19.434,19.004,28794,6.24037342272309
835,220206,1454785137749481728,M3-S382     ,205.44464227359,28.38294333352,20.375,19.925,28913,6.235698602632806
850,220291,1454785142048606208,M3-S398     ,205.44549557368,28.39097672092,15.83,15.748,28928,6.229692402184338
1621,220761,1454878768035704960,M3-S523     ,205.62753305435,28.44423289829,19.241,18.791,29699,6.218791054331583
764,219996,1454784832810950528,M3-S362     ,205.44545882543,28.36570558442,18.851,18.236,28842,6.21632357863321
763,219938,1454784832810949120,M3-S359     ,205.44615666072,28.36101885796,16.152,15.575,28841,6.212622533944688
353,219369,1454780194246444288,M3-S863     ,205.61557900111,28.29854558521,16.055,15.248,28431,6.209204120865572
766,220019,1454784832810951552,M3-S363     ,205.4454556783,28.36776030448,16.315,15.462,28844,6.203952225596501
366,219261,1454780670983314432,M3-S1556    ,205.49990185102,28.28620521069,19.154,18.737,28444,6.19125968230696
1494,220632,1454875817393789952,M3-S461     ,205.63884255091,28.42684823672,18.438,17.787,29572,6.187355414871746
1493,220669,1454875813098951040,M3-S495     ,205.63576803207,28.43200423982,19.016,18.485,29571,6.184788907170435
1624,220701,1454878772333207808,M3-S445     ,205.63294996421,28.43595389578,17.956,17.263,29702,6.174163030919278
1660,220892,1454879111633167744,M3-S508     ,205.59371706645,28.46959624423,19.148,18.709,29738,6.170097739594098
770,220110,1454784931591380736,M3-S377     ,205.4456340313,28.37499737528,19.587,19.177,28848,6.168434745004066
1484,220555,1454875714316484608,M3-S693     ,205.64308017095,28.41681381949,15.582,14.661,29562,6.155329015196231
1398,219609,1454874163830577024,M3-S1667    ,205.64186352094,28.33541303953,18.886,18.308,29476,6.143786233409971
714,219726,1454784725432574592,M3-S374     ,205.45094952583,28.34598688549,19.996,19.553,28792,6.141956160007363
1492,220644,1454875813098173952,M3-S490     ,205.63721199036,28.42817492167,19.034,18.464,29570,6.140942501245931
620,219657,1454783973817483904,M3-S381     ,205.45302815437,28.3404835452,20.328,19.879,28698,6.134277290454693
771,220125,1454784935884964096,M3-S385     ,205.44631985029,28.37627008332,19.707,19.284,28849,6.126066894877281
347,219255,1454780052507705600,M3-S847     ,205.5923514843,28.28512702227,14.943,14.356,28425,6.125275719078409
368,219308,1454780675282714752,M3-S779     ,205.49297025998,28.29157229741,17.432,16.826,28446,6.124564807123626
713,219741,1454784725432574464,M3-S375     ,205.45103227297,28.34702138583,20.079,19.572,28791,6.118527022463106
717,219711,1454784725438606080,M3-S378     ,205.45166200002,28.34512375196,19.83,19.396,28795,6.117401763652815
838,220230,1454785137749813760,M3-S401     ,205.44688146909,28.38536297838,20.176,19.728,28916,6.111359787193317
843,220209,1454785142043403392,M3-S399     ,205.44702701569,28.383622525,19.874,19.453,28921,6.095241634011318
722,219701,1454784729726499840,M3-S383     ,205.45241406759,28.34407925182,20.144,19.704,28800,6.094789695996933
597,219415,1454783698939694848,M3-S550     ,205.47577075958,28.30648659918,16.008,15.473,28675,6.085967671140645
1620,220719,1454878768035692288,M3-S433     ,205.62884925207,28.43889013608,17.319,16.572,29698,6.079183471010999
1652,220831,1454879047211120384,M3-S420     ,205.60950177511,28.45810533047,16.428,15.62,29730,6.078888659819903
623,219546,1454783973817611520,M3-S538     ,205.45999708176,28.32791016897,15.891,15.216,28701,6.076015206632683
1659,220874,1454879111633157120,M3-S469     ,205.59464655717,28.46735006385,18.665,18.042,29737,6.074661841721404
772,220139,1454784935890170368,M3-S393     ,205.44727506638,28.37711408827,17.118,16.387,28850,6.068463889447357
767,220068,1454784832810952960,M3-S387     ,205.44754021962,28.37154371738,18.794,18.162,28845,6.062314487779787
1661,220861,1454879115930598272,M3-S438     ,205.59834712346,28.4650911204,17.701,17.029,29739,6.061020755101613
