,Seq,_2MASS,RAJ2000,DEJ2000,Vamp,Vmag,Bamp,Bmag,Iamp,Imag,Per,Class,Rem,distance
295,177,1,205.5678333333333,28.370527777777774,0.557,15.507,0.674,15.765,0.33,15.25,0.3483380000000001,b'RR1 ',b'   ',1.2334120981141885
97,149,0,205.55874999999997,28.39319444444444,1.148,15.642,1.289,15.966,0.594,15.07,0.5482520000000001,b'RR0 ',b'   ',1.1386675270282125
277,149,0,205.55874999999997,28.39319444444444,1.148,15.642,1.289,15.966,0.594,15.07,0.5482520000000001,b'RR0 ',b'   ',1.1386675270282125
161,258,0,205.55962499999998,28.39208333333333,0.552,15.6,0.733,16.004,0.39,15.081,0.7133740000000002,b'RR0 ',b'   ',1.1142392364290064
341,258,0,205.55962499999998,28.39208333333333,0.552,15.6,0.733,16.004,0.39,15.081,0.7133740000000002,b'RR0 ',b'   ',1.1142392364290064
129,197,0,205.56629166666664,28.38116666666666,1.347,15.505,1.455,15.586,0.764,15.089,0.4999040000000001,b'RR0 ',b'   ',1.0976375886404732
309,197,0,205.56629166666664,28.38116666666666,1.347,15.505,1.455,15.586,0.764,15.089,0.4999040000000001,b'RR0 ',b'   ',1.0976375886404732
200,32,1,205.55162499999997,28.39508333333333,1.098,15.43,1.279,15.732,0.701,15.163,0.4953500000000001,b'RR0 ',b'   ',1.0855908418915323
20,32,1,205.55162499999997,28.39508333333333,1.098,15.43,1.279,15.732,0.701,15.163,0.4953500000000001,b'RR0 ',b'   ',1.0855908418915323
91,142,1,205.5385833333333,28.36211111111111,1.075,15.775,1.212,16.115,0.772,15.483,0.5686280000000001,b'RR0 ',b'   ',1.084466629476346
271,142,1,205.5385833333333,28.36211111111111,1.075,15.775,1.212,16.115,0.772,15.483,0.5686280000000001,b'RR0 ',b'   ',1.084466629476346
265,134,0,205.54074999999997,28.393055555555552,0.642,15.644,0.725,15.975,0.402,15.166,0.6180570000000002,b'RR0 ',b'   ',1.0525347201457926
85,134,0,205.54074999999997,28.393055555555552,0.642,15.644,0.725,15.975,0.402,15.166,0.6180570000000002,b'RR0 ',b'   ',1.0525347201457926
114,176,0,205.56241666666665,28.38783333333333,1.004,15.717,1.141,15.989,,,0.5397020000000001,b'RR0 ',b'Bl?',1.052063413486908
294,176,0,205.56241666666665,28.38783333333333,1.004,15.717,1.141,15.989,,,0.5397020000000001,b'RR0 ',b'Bl?',1.052063413486908
88,137,1,205.5644583333333,28.373111111111108,0.898,15.572,0.968,15.91,0.578,15.139,0.5751610000000001,b'RR0 ',b'   ',0.9944646401159825
268,137,1,205.5644583333333,28.373111111111108,0.898,15.572,0.968,15.91,0.578,15.139,0.5751610000000001,b'RR0 ',b'   ',0.9944646401159825
95,147,0,205.5409583333333,28.39158333333333,0.474,15.693,0.475,15.963,0.265,15.354,0.34649500000000005,b'RR1 ',b'   ',0.9680065474995496
275,147,0,205.5409583333333,28.39158333333333,0.474,15.693,0.475,15.963,0.265,15.354,0.34649500000000005,b'RR1 ',b'   ',0.9680065474995496
105,161,0,205.5533333333333,28.362555555555552,0.681,15.73,0.895,16.132,0.368,15.112,0.5263800000000001,b'RR0 ',b'   ',0.9312593286032547
285,161,0,205.5533333333333,28.362555555555552,0.681,15.73,0.895,16.132,0.368,15.112,0.5263800000000001,b'RR0 ',b'   ',0.9312593286032547
293,175,0,205.56091666666663,28.38594444444444,0.932,15.713,0.844,15.714,,,0.5697030000000002,b'RR0 ',b'   ',0.9126930136180389
113,175,0,205.56091666666663,28.38594444444444,0.932,15.713,0.844,15.714,,,0.5697030000000002,b'RR0 ',b'   ',0.9126930136180389
166,270,1,205.5497083333333,28.392277777777775,0.507,14.503,0.553,14.751,0.284,14.096,0.6901700000000002,b'RR01',b'   ',0.9033805697364137
346,270,1,205.5497083333333,28.392277777777775,0.507,14.503,0.553,14.751,0.284,14.096,0.6901700000000002,b'RR01',b'   ',0.9033805697364137
314,208,0,205.5488333333333,28.362361111111106,0.397,15.502,0.522,15.86,0.256,15.135,0.3382340000000001,b'RR1 ',b'   ',0.8953035632928288
134,208,0,205.5488333333333,28.362361111111106,0.397,15.502,0.522,15.86,0.256,15.135,0.3382340000000001,b'RR1 ',b'   ',0.8953035632928288
86,135,1,205.53929166666663,28.388999999999996,0.82,15.539,1.096,15.885,0.49,15.052,0.5685910000000002,b'RR0 ',b'   ',0.8913225431921004
266,135,1,205.53929166666663,28.388999999999996,0.82,15.539,1.096,15.885,0.49,15.052,0.5685910000000002,b'RR0 ',b'   ',0.8913225431921004
146,235,0,205.55737499999998,28.38883333333333,0.507,15.516,0.588,15.886,0.309,14.948,0.7599010000000002,b'RR0 ',b'Bl?',0.8773397722651575
326,235,0,205.55737499999998,28.38883333333333,0.507,15.516,0.588,15.886,0.309,14.948,0.7599010000000002,b'RR0 ',b'Bl?',0.8773397722651575
288,170,1,205.53887499999996,28.38755555555555,0.466,15.246,0.595,15.453,0.271,14.901,0.4323390000000001,b'RR0 ',b'   ',0.8414545662801043
108,170,1,205.53887499999996,28.38755555555555,0.466,15.246,0.595,15.453,0.271,14.901,0.4323390000000001,b'RR0 ',b'   ',0.8414545662801043
269,139,0,205.55879166666665,28.38633333333333,1.24,15.531,1.376,15.865,0.803,15.211,0.5599700000000001,b'RR0 ',b'   ',0.826327947003074
89,139,0,205.55879166666665,28.38633333333333,1.24,15.531,1.376,15.865,0.803,15.211,0.5599700000000001,b'RR0 ',b'   ',0.826327947003074
87,136,0,205.53987499999997,28.387916666666662,0.558,15.311,0.656,15.797,0.303,14.746,0.6171530000000002,b'RR0 ',b'   ',0.8186234030382569
267,136,0,205.53987499999997,28.387916666666662,0.558,15.311,0.656,15.797,0.303,14.746,0.6171530000000002,b'RR0 ',b'   ',0.8186234030382569
162,259,0,205.5607083333333,28.381916666666662,0.293,15.114,0.397,15.571,0.139,14.541,0.33346300000000006,b'RR1 ',b'   ',0.7883277719308515
342,259,0,205.5607083333333,28.381916666666662,0.293,15.114,0.397,15.571,0.139,14.541,0.33346300000000006,b'RR1 ',b'   ',0.7883277719308515
111,173,0,205.54374999999996,28.389388888888885,0.526,14.881,0.563,15.17,0.294,14.52,0.6070160000000001,b'RR0 ',b'   ',0.7787745954032912
291,173,0,205.54374999999996,28.389388888888885,0.526,14.881,0.563,15.17,0.294,14.52,0.6070160000000001,b'RR0 ',b'   ',0.7787745954032912
313,207,1,205.55912499999997,28.36997222222222,0.366,15.381,0.397,15.675,0.196,14.966,0.3453290000000001,b'RR1 ',b'   ',0.7777871519734785
133,207,1,205.55912499999997,28.36997222222222,0.366,15.381,0.397,15.675,0.196,14.966,0.3453290000000001,b'RR1 ',b'   ',0.7777871519734785
92,143,1,205.53699999999998,28.38305555555555,1.073,15.416,1.321,15.769,0.598,14.989,0.5967390000000001,b'RR0 ',b'   ',0.7677111026375855
272,143,1,205.53699999999998,28.38305555555555,1.073,15.416,1.321,15.769,0.598,14.989,0.5967390000000001,b'RR0 ',b'   ',0.7677111026375855
282,157,1,205.54249999999996,28.388555555555552,1.078,15.249,1.261,15.707,0.412,14.505,0.5430860000000002,b'RR0 ',b'   ',0.7641580576769759
