,Seq,m_Seq,Per,u_Per,Type,__Bmag_,u__Bmag_,__Vmag_,u__Vmag_,__Imag_,u__Imag_,FileName,SimbadName,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
101,b'107',b' ',0.3090378,b' ',b'RRc',15.89,b' ',15.674,b' ',15.293,b' ',b'v107',b'Cl* NGC 5272 SAW V107',205.5238458333333,28.47125555555555,15.89,15.674,205.5238458333333,28.47125555555555,5.828240144298745
62,b' 63',b' ',0.5704004,b' ',b'RRab',16.052,b' ',15.67,b' ',15.163,b' ',b'v063',b'Cl* NGC 5272 SAW V 63',205.55965833333332,28.473313888888885,16.052,15.67,205.55965833333332,28.473313888888885,5.801560713328852
299,b' 63',b' ',0.5704004,b' ',b'RRab',16.052,b' ',15.67,b' ',15.163,b' ',b'v063',b'Cl* NGC 5272 SAW V 63',205.55965833333332,28.473313888888885,16.052,15.67,205.55965833333332,28.473313888888885,5.801560713328852
109,b'118',b' ',0.4993905,b' ',b'RRab',15.987,b' ',15.672,b' ',,b' ',b'v118',b'Cl* NGC 5272 SAW V118',205.5941333333333,28.297338888888884,15.987,15.672,205.5941333333333,28.297338888888884,5.525272321835003
346,b'118',b' ',0.4993905,b' ',b'RRab',15.987,b' ',15.672,b' ',,b' ',b'v118',b'Cl* NGC 5272 SAW V118',205.5941333333333,28.297338888888884,15.987,15.672,205.5941333333333,28.297338888888884,5.525272321835003
276,b' 40',b' ',0.5515394,b' ',b'RRab',16.038,b' ',15.672,b' ',15.218,b' ',b'v040',b'Cl* NGC 5272 SAW V 40',205.46256249999996,28.409152777777773,16.038,15.672,205.46256249999996,28.409152777777773,5.4947974681786595
39,b' 40',b' ',0.5515394,b' ',b'RRab',16.038,b' ',15.672,b' ',15.218,b' ',b'v040',b'Cl* NGC 5272 SAW V 40',205.46256249999996,28.409152777777773,16.038,15.672,205.46256249999996,28.409152777777773,5.4947974681786595
36,b' 37',b' ',0.3266378,b' ',b'RRc',15.903,b' ',15.679,b' ',15.302,b' ',b'v037',b'Cl* NGC 5272 SAW V 37',205.47349166666663,28.423391666666664,15.903,15.679,205.47349166666663,28.423391666666664,5.27871059502408
273,b' 37',b' ',0.3266378,b' ',b'RRc',15.903,b' ',15.679,b' ',15.302,b' ',b'v037',b'Cl* NGC 5272 SAW V 37',205.47349166666663,28.423391666666664,15.903,15.679,205.47349166666663,28.423391666666664,5.27871059502408
17,b' 18',b' ',0.5164527,b' ',b'RRab',16.068,b':',15.698,b' ',15.231,b':',b'v018',b'Cl* NGC 5272 SAW V 18',205.5792833333333,28.296463888888884,16.068,15.698,205.5792833333333,28.296463888888884,5.190451261734461
